id,Food you like most,Leisure time activity,Future plan
151340976,traditional,digital content,software engineer
151340977,traditional,personal activities,business
151340978,traditional,digital content,higher studies
151340980,any,music,software engineer
151340981,chinese,personal activities,business
151340982,western,digital content,business
151340983,traditional,digital content,software engineer
151340984,traditional,personal activities,business
151340985,any,social media,higher studies
151340986,traditional,digital content,software engineer
151340988,traditional,music,software engineer
151340990,traditional,digital content,any job
151340991,western,digital content,higher studies
151340992,western,digital content,business
151340994,traditional,digital content,software engineer
151340995,traditional,digital content,business
151340996,traditional,digital content,software engineer
151340998,traditional,digital content,higher studies
151341000,traditional,digital content,any job
151341001,western,digital content,business
151340894,traditional,music,higher studies
151340897,traditional,nothing,higher studies
151340898,chinese,social media,non cse career
151340900,traditional,nothing,business
151340901,traditional,personal activities,business
151340902,traditional,nothing,higher studies
151340903,traditional,social media,non cse career
151340904,traditional,nothing,higher studies
151340905,western,personal activities,higher studies
151340906,traditional,social media,business
151340907,traditional,nothing,higher studies
151340909,traditional,nothing,business
151340910,traditional,personal activities,business
151340911,western,nothing,non cse career
151340912,traditional,music,software engineer
151340913,western,nothing,non cse career
151340914,any,nothing,higher studies
151340916,traditional,nothing,software engineer
151340917,traditional,nothing,any job
151340918,traditional,nothing,business
151340919,traditional,digital content,higher studies
151340920,traditional,personal activities,non cse career
151340949,chinese,nothing,any job
151340950,traditional,nothing,non cse career
151340951,traditional,nothing,software engineer
151340952,western,personal activities,any job
151340954,traditional,personal activities,software engineer
151340955,traditional,nothing,any job
151340956,traditional,music,any job
151340957,western,personal activities,software engineer
151340958,traditional,personal activities,business
151340959,traditional,nothing,business
151340960,traditional,personal activities,business
151340961,western,nothing,any job
151340962,traditional,personal activities,any job
151340963,traditional,social media,higher studies
151340964,traditional,digital content,any job
151340966,traditional,personal activities,software engineer
151340967,any,nothing,any job
151340968,chinese,nothing,higher studies
151340969,western,personal activities,higher studies
151340970,western,social media,any job
151340971,traditional,nothing,business
151340972,western,nothing,software engineer
151340973,traditional,nothing,any job
151340974,western,personal activities,business
151340975,traditional,nothing,software engineer
151341035,any,personal activities,higher studies
121440946,any,personal activities,higher studies
151341042,traditional,nothing,higher studies
151341043,any,nothing,higher studies
141440945,any,nothing,higher studies
151341040,any,nothing,software engineer
151341045,western,personal activities,higher studies
141440962,traditional,reading,higher studies
151341037,traditional,personal activities,non cse career
151341044,traditional,nothing,business
151341038,any,personal activities,higher studies
151341039,western,personal activities,software engineer
131440969,traditional,nothing,higher studies
151341036,western,nothing,higher studies
141440899,western,reading,higher studies
131440899,western,personal activities,any job
131440910,western,personal activities,software engineer
141340960,traditional,personal activities,business
141340900,traditional,nothing,any job
151341031,any,nothing,any job
141440980,any,personal activities,higher studies
151341008,traditional,personal activities,any job
151341004,western,reading,higher studies
151341006,western,personal activities,any job
151341016,chinese,personal activities,software engineer
151341013,any,personal activities,software engineer
151341026,any,personal activities,any job
151341023,western,nothing,higher studies
151341027,any,personal activities,any job
151341015,any,personal activities,any job
151341028,any,personal activities,any job
151341017,western,nothing,any job
151341011,any,nothing,any job
151341014,western,nothing,software engineer
151341005,any,personal activities,software engineer
151341009,chinese,nothing,higher studies
151341022,western,nothing,any job
151341029,western,nothing,business
151341010,any,nothing,software engineer
151341020,traditional,nothing,higher studies
151341012,any,personal activities,any job
151341021,any,digital content,higher studies
151341019,any,personal activities,any job
151340921,traditional,personal activities,higher studies
151340923,western,nothing,higher studies
151340925,chinese,personal activities,higher studies
151340926,chinese,personal activities,software engineer
151340927,chinese,digital content,higher studies
151340928,traditional,personal activities,software engineer
151340930,traditional,digital content,software engineer
151340931,traditional,nothing,software engineer
151340932,traditional,nothing,software engineer
151340933,traditional,nothing,software engineer
151340934,traditional,personal activities,software engineer
151340935,any,nothing,software engineer
151340936,traditional,social media,business
151340937,chinese,nothing,software engineer
151340938,western,nothing,higher studies
151340939,western,social media,software engineer
151340940,traditional,nothing,business
151340941,chinese,personal activities,any job
151340942,western,personal activities,software engineer
151340943,western,nothing,software engineer
151340944,traditional,nothing,software engineer
151340945,traditional,nothing,software engineer
151340946,traditional,personal activities,software engineer
151340947,traditional,nothing,software engineer
